1600231,Rando,Shooting Guard,Hawks Talon GC,Regular,15,360,82,173,0.474,39,98,0.398,18,25,0.72,0,11,11,61,15,15,56,2,221,27,0.587,0.601,16.9097028
1600201,USERPICK,Shooting Guard,Wizards District Gaming,Regular,16,384,52,78,0.667,21,32,0.656,0,0,0,6,11,17,16,59,40,6,1,125,25,0.801,0.801,16.5246042
1600211,KevDontMiss,Power Forward,Jazz Gaming,Regular,6,144,28,52,0.538,13,31,0.419,2,2,1,3,3,6,17,3,6,17,1,71,18,0.663,0.671,16.5100833
1600218,OriginalMalik,Shooting Guard,Knicks Gaming,Regular,16,384,95,201,0.473,48,114,0.421,9,14,0.643,0,16,16,37,29,30,61,4,247,24,0.592,0.596,16.4558958
1600012,Detoxys,Power Forward,Lakers Gaming,Regular,13,318,47,90,0.522,19,42,0.452,10,11,0.909,16,23,39,10,36,16,10,10,123,22,0.628,0.648,16.331544
1600020,Doza,Point Guard,Raptors Uprising GC,Regular,11,264,46,99,0.465,21,44,0.477,8,9,0.889,2,17,19,67,12,11,40,2,121,28,0.571,0.588,16.2022462
1600251,KelMav,Shooting Guard,Traded,Regular,13,312,60,131,0.458,25,63,0.397,8,8,1,5,11,16,28,16,8,12,3,153,28,0.553,0.569,16.0149872
1600247,Daveed 3x,Power Forward,Blazer5 Gaming,Regular,14,342,33,61,0.541,14,28,0.5,3,5,0.6,10,41,51,13,23,38,14,13,83,14,0.656,0.657,15.8372661
1600243,Sherm,Point Guard,Mavs Gaming,Regular,16,384,48,70,0.686,14,24,0.583,6,8,0.75,7,10,17,15,34,31,10,6,116,15,0.786,0.789,15.4989635
1600067,Vert,Power Forward,Lakers Gaming,Regular,16,390,67,137,0.489,18,55,0.327,16,22,0.727,9,14,23,86,29,25,59,6,168,31,0.555,0.573,15.4325538
1600049,LavishPhenom,Shooting Guard,Blazer5 Gaming,Regular,16,390,53,92,0.576,15,28,0.536,10,10,1,3,6,9,11,46,41,8,4,131,21,0.658,0.679,15.3903615
1600100,King Peroxide,Power Forward,Blazer5 Gaming,Regular,11,270,55,113,0.487,28,67,0.418,5,7,0.714,3,8,11,16,31,14,18,0,143,39,0.611,0.616,15.3235
1600236,Jayrod,Shooting Guard,Grizz Gaming,Regular,16,384,57,129,0.442,36,84,0.429,5,5,1,8,32,40,29,17,20,20,5,155,15,0.581,0.591,15.2771771
1600241,Gradient,Shooting Guard,Warriors Gaming Squad,Regular,16,384,59,106,0.557,11,28,0.393,6,8,0.75,14,15,29,16,53,44,20,3,135,21,0.608,0.616,15.2654896
1600022,Newdini33,Shooting Guard,76ers GC,Regular,16,384,46,74,0.622,18,36,0.5,2,2,1,11,8,19,14,32,33,9,4,112,31,0.743,0.748,15.1427083
1600220,Jay a FooL,Point Guard,Hawks Talon GC,Regular,14,336,49,87,0.563,29,55,0.527,2,2,1,4,9,13,10,22,21,15,4,129,24,0.73,0.734,15.0393452
1600050,Savage,Point Guard,Cavs Legion GC,Regular,10,243,38,64,0.594,10,29,0.345,3,5,0.6,1,8,9,42,7,14,29,0,89,22,0.672,0.672,14.6015226
1600245,Jaacko,Point Guard,Pistons GT,Regular,12,288,43,92,0.467,23,57,0.404,10,11,0.909,2,8,10,23,5,8,11,1,119,21,0.592,0.614,14.5757847
1600058,Deedz,Point Guard,Jazz Gaming,Regular,16,387,44,69,0.638,13,29,0.448,2,2,1,12,17,29,31,58,36,17,3,103,25,0.732,0.737,14.2315969
1600041,iamadamthe1st,Point Guard,Knicks Gaming,Regular,16,384,70,156,0.449,37,86,0.43,14,17,0.824,4,6,10,110,24,18,80,0,191,31,0.567,0.584,14.2177292
1600045,LYKaPRO,Point Guard,Cavs Legion GC,Regular,6,144,18,44,0.409,8,20,0.4,5,6,0.833,3,1,4,36,5,8,16,0,49,23,0.5,0.525,14.0224514
1600079,TsJosh,Shooting Guard,Raptors Uprising GC,Regular,15,360,46,75,0.613,13,29,0.448,3,4,0.75,6,7,13,13,38,27,6,3,108,26,0.7,0.703,13.8731111
